soil1	soil2	0.0154588	0	0	0.0885484	0.234567	0.056691	1593976814
plant1	plant2	0.0050617	0	0	0.0558333	0.189906	0.0404684	1592427978
animal1	animal2	0.013317	0	0.00159235	0.0615775	0.17368	0.0425922	1594680410
marine1	marine2	0.00759577	0	0	0.032783	0.123891	0.0270578	1583458484
freshwater1	freshwater2	0.011948	0	0.000820396	0.0469675	0.143427	0.0340302	1586269028
general1	general2	0.00272063	0	7.38743e-05	0.0194564	0.11753	0.0221741	2497065080
animal1	marine1	0.000175696	0	0	0.00142611	0.0136396	0.00288409	1599615360
animal1	freshwater1	0.000964529	0	5.59468e-05	0.00537567	0.043179	0.00815632	1599666592
animal1	general1	0.00404006	0	0.000249791	0.0290387	0.137987	0.0275814	1996521902
animal1	soil1	0.000882638	0	0	0.00596013	0.0455297	0.00857997	1599878035
animal1	plant1	0.00112888	0	0	0.00823347	0.066093	0.0121506	1599710464
marine1	freshwater1	0.0043054	0	6.05889e-05	0.0156022	0.0533138	0.0128908	1599678535
marine1	general1	0.000447854	0	0	0.00470497	0.0341027	0.00691162	998676311
marine1	soil1	0.00270626	0	0	0.0112042	0.0370447	0.00905136	1599849849
marine1	plant1	0.00165186	0	0	0.00951003	0.0353223	0.00813653	1599921952
freshwater1	general1	0.00188893	0	6.02933e-05	0.0137253	0.0717368	0.014306	1999335687
freshwater1	soil1	0.0111038	0	4.64706e-05	0.0421774	0.107725	0.0282212	1598877365
freshwater1	plant1	0.00721121	0	0	0.0374465	0.099603	0.0249374	1599936257
general1	soil1	0.00170564	0	0	0.0148268	0.110599	0.0197171	1998642334
general1	plant1	0.00178787	0	0	0.0158782	0.107062	0.0196427	1998871344
soil1	plant1	0.00818518	0	0	0.0655531	0.207964	0.0458016	1596754429
